date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-11-19,2.0094111833489,2.009411183347902,2.009411183349892,3576081009
2024-11-20,2.010986318269535,2.0109863182685084,2.010986318270524,3576081009
2024-11-21,2.01256145319017,2.0125614531891327,2.0125614531911684,3576081009
2024-11-22,2.0141365881108046,2.014136588109936,2.0141365881118127,3576081009
2024-11-23,2.01571172303144,2.015711723030465,2.0157117230325046,3576081009
2024-11-24,2.0172868579520746,2.017286857951161,2.0172868579530694,3576081009
2024-11-25,2.0188619928727096,2.0188619928717393,2.018861992873683,3576081009
2024-11-26,2.0204371277933446,2.020437127792306,2.0204371277943585,3576081009
2024-11-27,2.0220122627139796,2.022012262712965,2.0220122627149735,3576081009
2024-11-28,2.0235873976346146,2.023587397633526,2.023587397635565,3576081009
2024-11-29,2.025162532555249,2.025162532554282,2.0251625325562754,3576081009
2024-11-30,2.0267376674758846,2.0267376674748214,2.026737667476938,3576081009
2024-12-01,2.028312802396519,2.0283128023954924,2.0283128023975503,3576081009
2024-12-02,2.0298879373171546,2.02988793731608,2.029887937318198,3576081009
2024-12-03,2.031463072237789,2.03146307223679,2.031463072238869,3576081009
2024-12-04,2.033038207158424,2.0330382071573516,2.0330382071593944,3576081009
2024-12-05,2.034613342079059,2.034613342078051,2.0346133420800787,3576081009
2024-12-06,2.0361884769996936,2.0361884769986522,2.0361884770007563,3576081009
2024-12-07,2.0377636119203295,2.0377636119192704,2.037763611921335,3576081009
2024-12-08,2.039338746840964,2.0393387468398525,2.0393387468420068,3576081009
2024-12-09,2.0409138817615986,2.0409138817605235,2.040913881762645,3576081009
2025-01-14,1.0252015887742392,1.0252015887694024,1.025201588779238,35760810972
2025-01-15,1.0503857790942375,1.0503857790894897,1.0503857790991646,35760810972
2025-01-16,1.0755699694142353,1.0755699694093845,1.0755699694193426,35760810972
2025-01-17,1.100754159734234,1.1007541597290378,1.1007541597393342,35760810972
2025-01-18,1.125938350054232,1.1259383500491318,1.12593835005979,35760810972
2025-01-19,1.1511225403742298,1.1511225403689762,1.151122540379614,35760810972
2025-01-20,1.176306730694228,1.1763067306888715,1.1763067306990411,35760810972
2025-01-21,1.201490921014226,1.2014909210087714,1.2014909210196,35760810972
2025-01-22,1.2266751113342238,1.2266751113280079,1.2266751113397658,35760810972
2025-01-23,1.2518593016542225,1.251859301648054,1.2518593016596704,35760810972
2025-01-24,1.2770434919742204,1.2770434919681377,1.2770434919795473,35760810972
2025-01-25,1.3022276822942187,1.3022276822881889,1.3022276822997392,35760810972
2025-01-26,1.3274118726142166,1.3274118726079507,1.3274118726204034,35760810972
2025-01-27,1.3525960629342144,1.3525960629275853,1.3525960629404876,35760810972
2025-01-28,1.3777802532542127,1.3777802532479646,1.3777802532610115,35760810972
2025-01-29,1.4029644435742106,1.4029644435662678,1.402964443580772,35760810972
2025-01-30,1.4281486338942093,1.4281486338860125,1.428148633900485,35760810972
2025-01-31,1.4533328242142072,1.4533328242059569,1.4533328242211634,35760810972
2025-02-01,1.478517014534205,1.478517014524845,1.478517014540809,35760810972
2025-02-02,1.5037012048542033,1.5037012048437528,1.5037012048612968,35760810972
2025-02-03,1.5288853951742012,1.5288853950743129,1.52888539518237,35760810972
2025-02-04,1.554069585494199,1.5540695853093058,1.5540695855015576,35760810972
2025-02-05,1.5792537758141978,1.5792537754854463,1.5792537758231096,35760810972
2025-02-06,1.6044379661341956,1.604437965677831,1.6044379661431787,35760810972
2025-02-07,1.629622156454194,1.6296221559374957,1.6296221564947337,35760810972
2025-02-08,1.6548063467741922,1.654806346170016,1.6548063468925813,35760810972
2025-02-09,1.6799905370941906,1.6799905362665752,1.6799905373419872,35760810972
2025-02-10,1.7051747274141884,1.7051747265241164,1.705174727744284,35760810972
2025-03-04,2.199058508158871,-0.08057736803055497,4.547685012236935,3577564803
2025-03-05,2.3416629187507514,0.15715234143200973,4.768514144858581,3577564803
2025-03-06,2.48634272399439,-0.03656403408906006,4.9462870214669445,3577564803
2025-03-07,2.631099918211015,0.24459484774743892,4.908337397151216,3577564803
2025-03-08,2.773995825927726,0.45901384456873345,5.073959303867543,3577564803
2025-03-09,2.9132143109509783,0.46498397630167404,5.27682018128287,3577564803
2025-03-10,3.0471198285948997,0.7811575729678305,5.379827308904786,3577564803
2025-03-11,3.174308182318252,0.9819922038909571,5.498255226748234,3577564803
2025-03-12,3.293648116603494,0.9230801006953875,5.426274209685758,3577564803
2025-03-13,3.4043122145245417,1.0602580364908816,5.6733736783446105,3577564803
